Category,Name,SKU,Price
Royal China,Cup/Saucer,68877,89
Royal China,Teapot,68876,169
Royal China,Teapot 6cup,77331,199
Royal China,"6 1/4"" B&B Plate",77100,49
Royal China,"8"" Dessert Plate",68878,59
Royal China,"10 3/4"" Dinner Plate",73140,89
Royal China,Rim Soup Bowl,77330,89
Royal China,2 Tier Cake Stand,68881,129
Royal China,Creamer,68879,69
Royal China,Sugar,68880,69
Royal China,Tea Strainer,32234,29.95
Royal China,Trinket Box,77332,59
Royal China,Square Dish,77333,79
Royal China,Platter,56621,189.95
Royal China,Salt & Pepper,58239,69.95
Royal China,Emp Pill Box,69101,59
Library China,Cup/Saucer,68889,89
Library China,Teapot,68892,169
Library China,"8"" Plate",68890,59
Library China,Creamer,68893,69
Library China,Sugar,68894,69
Library China,2 Tier Cake Stand,68891,129
Palm Court China,Cup/Saucer,68883,89
Palm Court China,Teapot,68886,169
Palm Court China,"8"" Plate",68884,59
Palm Court China,2 Tier Cake Stand,68885,129
Palm Court China,Beaker,72410,49
Palm Court China,Creamer,68887,69
Palm Court China,Sugar,68888,69
Empress Tea,Blue box of 10's,18405,7.95
Empress Tea,Blue box of 50's,18407,16.95
Empress Tea,Collector Tin,24329,10.95
Empress Tea,Sampler bag,54300,7.99
Empress Tea,Sampler box,54300,7.99
Empress Tea,Apple Spice,49123,12.95
Empress Tea,Berry Berry,24981,12.95
Empress Tea,Breakfast,24984,12.95
Empress Tea,Camomile,25639,12.95
Empress Tea,Empress Orange,24983,12.95
Empress Tea,Earl Grey,24982,12.95
Empress Tea,Gen Maichi,43266,12.95
Empress Tea,Jasmine Butterfly,24980,12.95
Empress Tea,Japan Sencha,25635,12.95
Empress Tea,Kea Lani Orange,25640,12.95
Empress Tea,Kyoto Cherry Rose,25637,12.95
Empress Tea,Lemon Rooibos,43264,12.95
Empress Tea,Maple Maple,25641,12.95
Empress Tea,Margaret's Hope,25633,12.95
Empress Tea,Peppermint,25638,12.95
Empress Tea,Safari Chai,49122,12.95
Empress Tea,Vanilla Orchid,43267,12.95
Empress Tea,Willow Stream Decaf,24979,12.95
Wellness Tea,Antioxidant,74161,12.95
Wellness Tea,Digestif,74160,12.95
Wellness Tea,Energy,74157,12.95
Wellness Tea,Equilibrium,74159,12.95
Wellness Tea,Tranquility,74158,12.95
100 gram bulk tea,Breakfast,85353,9.95
100 gram bulk tea,TEA OF THE MONTH,90802,9.95
100 gram bulk tea,Earl Grey,85354,9.95
100 gram bulk tea,Jasmine Butterfly,85350,9.95
100 gram bulk tea,Kea Lani,85351,9.95
100 gram bulk tea,Berry Berry,85823,9.95
100 gram bulk tea,Willow Stream Decaf,52665,9.95
100 gram bulk tea,Empress Orange Pekoe,85352,9.95
100 gram bulk tea,Maple Maple,52667,9.95
100 gram bulk tea,Ice Wine,85981,9.95
100 gram bulk tea,Cream Earl Grey,85978,9.95
100 gram bulk tea,Mango Mist,85980,9.95
100 gram bulk tea,Peach Apricot,90802,9.95
500 gram bulk tea,Berry Berry,45870,34.95
500 gram bulk tea,Borengajuli,45856,29.95
500 gram bulk tea,Centennial 1907,72438,29.95
500 gram bulk tea,Cascade Peppermint,45865,29.95
500 gram bulk tea,Cream Earl Grey,45878,29.95
500 gram bulk tea,Earl Grey,45875,55
500 gram bulk tea,Egypian Camomile,45866,15.95
500 gram bulk tea,Empress Orange,45873,29.95
500 gram bulk tea,Gen Maicha,45864,34.95
500 gram bulk tea,Breakfast,45874,39.95
500 gram bulk tea,Ice Wine,45858,34.95
500 gram bulk tea,Japan Sencha,41622,39.95
500 gram bulk tea,Jasmine Butterfly,45862,29.95
500 gram bulk tea,Kea Lani,45871,34.95
500 gram bulk tea,Kyoto Cherry,45860,29.95
500 gram bulk tea,Long Is. Strawberry,45861,29.95
500 gram bulk tea,Marg's Hope Darjeeling,45854,34.95
500 gram bulk tea,Maple Maple Organic,45857,62.5
500 gram bulk tea,Pai Mu Tan,45882,54.95
500 gram bulk tea,Vanilla Chai,45877,29.95
500 gram bulk tea,Vanilla Orchid,45879,44.95
500 gram bulk tea,Willow Stream Decaf,45851,39.95
Royal China,Bracelet Square,32425,250
Royal China,Bracelet Half-moon,74449,295
Royal China,Crown Pin,35033,95
Royal China,Earrings,32431,95
Royal China,Pin/Pendant,32427,69
Royal China,Pendant,32428,55
Royal China,Charm,32430,45
Miscellaneous,Teapot Beads,41026,22
Miscellaneous,Teacup,41022,6
Miscellaneous,Teapot - 2 Sided,41021,10
Miscellaneous,Empress Teapot,45118,15
New charms,Cup and Saucer,68022,49
New charms,Tea Pot,82418,55
New charms,Emp Hotel,82419,49
New charms,DD Bus,82420,69
New charms,Whale,82422,49
New charms,Totem,82415,55
New charms,Snow Flake,54179,49
New charms,Sea Otter,82421,49
New charms,Maple Leaf,82424,69
New charms,B/C Dogwood,82423,69
New charms,Inukshuk,54176,39
Crystal,Champaign Flutes,30592,110
Crystal,Tumbler,30597,49.95
Crystal,Tot Glass,4770,24.95
Baby China ,Baby mug,89880,39.95
Mugs,Starry mug ,85885,18.95Allan Test,A Test For Allan,12345,99.99
